none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,enabled,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,enabled,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,enabled,none,none,none
none,none,none,none,none,none,none,hidden,enabled,none,none,none,none,none,none,permanent
none,none,none,none,none,none,enabled,enabled,none,none,enabled,none,permanent,none,none,none
none,none,none,none,none,none,none,none,hidden,none,none,none,none,none,none,none
none,none,permanent,none,none,none,none,none,enabled,none,none,none,enabled,none,none,permanent
none,none,none,none,none,hidden,none,none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
